equipment_id,equipment_type,manufacturer,model,serial_number,facility_id,facility,county,keph_level,department,latitude,longitude,installation_date,last_maintenance_date,operating_hours_at_start,maintenance_interval_days,criticality,scenario_type,scenario_rationale,discrepancy_pct_target
ME-00001,MRI,Philips,Ingenia,SN-FLBC-10433218,24979.0,Kenyatta University Teaching Refferal and Research Hospital,Nairobi,Level 6,Radiology,-1.2864,36.8172,2018-11-17,2026-03-08,6607,180,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00002,Hemodialysis,B. Braun,Dialog+,SN-AOCL-33890838,24823.0,LIGHTHOUSE HOSPITAL AND REHABILITATION CENTRE,Uasin Gishu,Level 4,Renal Unit,0.5204,35.2699,2020-12-28,2026-07-25,23549,180,Medium,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.325
ME-00003,X-Ray,Siemens,Ysio,SN-GFYG-02654235,13907.0,Nyamekongoroto Health Centre,Migori,Level 3,Radiology,-1.0634,34.4731,2021-09-05,2026-08-01,27379,90,Critical,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00004,MRI,Philips,Ingenia,SN-FJSO-59407816,12516.0,Meru District hospital,Meru,Level 5,Radiology,0.047,37.6556,2023-11-20,2026-08-08,11311,60,Critical,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00005,CT,GE Healthcare,SOMATOM,SN-OGYR-59310341,24979.0,Kenyatta University Teaching Refferal and Research Hospital,Nairobi,Level 6,Radiology,-1.2864,36.8172,2022-06-25,2026-06-21,5575,60,High,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00006,Anesthesia,Mindray,Aisys,SN-OKIU-52553419,13380.0,Khorof Harar Sub-District Hospital,Wajir,Level 4,Operating Theatre,1.7471,40.0573,2020-09-15,2026-03-21,12861,60,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00007,Ultrasound,GE Healthcare,LOGIQ,SN-CZUZ-76483503,11161.0,Wamagana Health Centre,Nyeri,Level 3,Imaging,-0.4201,36.9476,2020-11-25,2026-03-02,6008,60,Critical,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.299
ME-00008,CT,Siemens,Aquilion,SN-QIPV-39537672,13023.0,Kenyatta National Hospital,Nairobi,Level 6,Radiology,-1.2864,36.8172,2023-05-27,2026-06-02,9238,180,Low,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.324
ME-00009,Hemodialysis,B. Braun,Dialog+,SN-GFFW-49696532,21922.0,Jumuia Hospitals Kakamega Clinic,Kakamega,Level 4,Renal Unit,0.2827,34.7519,2019-01-10,2026-08-04,12146,30,High,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.25
ME-00010,Ultrasound,Mindray,LOGIQ,SN-MDHQ-12269166,23284.0,Saphire Healthcare Nursing Home,Mandera,Level 3,Imaging,3.9366,41.855,2023-05-01,2026-08-04,17635,30,High,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00011,X-Ray,Philips,Ysio,SN-KDAU-01845146,13544.0,Endiba Health Centre,Nyamira,Level 3,Radiology,-0.5633,34.9358,2024-09-29,2026-04-10,6008,90,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00012,Ultrasound,Mindray,EPIQ,SN-JXWK-82814893,24541.0,Oasis Health Sirare Medical Centre,Migori,Level 3,Imaging,-1.0634,34.4731,2023-03-19,2026-07-19,17010,30,Low,UsageDiscrepancy+MaintenanceNeglect,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases. Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",0.399
ME-00013,X-Ray,Siemens,Ysio,SN-ZTPD-80957015,24772.0,ChanF Community& Family Health Services,Kajiado,Level 3,Radiology,-1.85,36.7833,2020-09-03,2026-08-07,8892,180,Low,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.146
ME-00014,Ultrasound,Mindray,LOGIQ,SN-QEJK-91171822,21805.0,Jirani Diagnostic Centre Machakos,Machakos,Level 3,Imaging,-1.5177,37.2634,2020-11-17,2026-05-31,5207,120,Medium,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.2
ME-00015,X-Ray,Siemens,DigitalDiagnost,SN-CHCH-96383465,16012.0,Mbale Rural Health Training Centre,Vihiga,Level 3,Radiology,0.0833,34.7167,2020-09-25,2026-04-02,25748,60,High,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00016,CT,Siemens,Aquilion,SN-AETO-15098393,12867.0,Aga Khan Hospital,Nairobi,Level 5,Radiology,-1.2864,36.8172,2019-02-15,2026-04-03,15794,30,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00017,MRI,Siemens,Ingenia,SN-NIIU-10518347,25045.0,Mwai Kibaki Teaching and Referral Hospital,Nyeri,Level 6,Radiology,-0.4201,36.9476,2023-06-26,2026-06-09,19150,60,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00018,Hemodialysis,Fresenius,5008S,SN-WBAD-73763116,11411.0,Hola District Hospital,Tana River,Level 4,Renal Unit,-1.4998,40.0296,2024-10-29,2026-02-28,29168,90,Low,MaintenanceNeglect,"Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",0.0
ME-00019,Ultrasound,Mindray,EPIQ,SN-ICIB-10651333,18761.0,Spa Nursing Home,Kiambu,Level 3,Imaging,-1.1714,36.8356,2020-03-09,2026-04-13,8020,180,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
