equipment_id,equipment_type,facility_id,facility,county,keph_level,criticality,scenario_type,scenario_rationale,avg_utilization_90d,avg_risk_score_90d,max_risk_score_90d,avg_degradation_index_90d,avg_temperature_anomaly_90d,avg_vibration_anomaly_90d,pct_hours_critical_90d,pct_hours_warning_or_worse_90d,total_failures_90d,latest_risk_score,latest_degradation_index,latest_operating_hours,avg_utilization_recent,avg_risk_score_recent,risk_score_trend,utilization_trend,maintenance_interval_days,maintenance_event_count,avg_downtime_hours,total_parts_cost,avg_days_between_maintenance,days_since_last_maintenance,maintenance_overdue,avg_discrepancy_pct,max_discrepancy_pct,std_discrepancy_pct,weeks_observed,weeks_flagged,pct_weeks_flagged,discrepancy_pct_trend,label_maintenance_neglect,label_usage_discrepancy,label_any_failure
ME-00001,MRI,24979.0,Kenyatta University Teaching Refferal and Research Hospital,Nairobi,Level 6,Medium,Normal,No injected scenario; represents routine operating condition.,0.5099148148148148,0.055275000000000005,0.1454,0.0,0.15652435185185185,0.06827300925925925,0.0,0.0,0,0.0278,0.0,6633.99,0.5117893175074184,0.05462195845697329,-0.0006530415430267139,0.0018745026926035857,180,2,0.455,38050.02,7.0,158,False,0.06769285714285714,1.0,0.5266356403030112,14,5,0.35714285714285715,-0.027685494505494526,False,False,False
ME-00002,Hemodialysis,24823.0,LIGHTHOUSE HOSPITAL AND REHABILITATION CENTRE,Uasin Gishu,Level 4,Medium,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.5071009259259259,0.09443342592592593,0.2398,0.0,0.37207125,0.049309351851851854,0.0,0.0,0,0.0558,0.0,23595.4,0.5002166172106826,0.09315697329376854,-0.0012764526321573932,-0.00688430871524337,180,5,1.78,112107.35,115.75,19,False,0.15722857142857144,0.4049,0.1684436286831771,14,7,0.5,-0.0025037362637362662,False,True,False
ME-00003,X-Ray,13907.0,Nyamekongoroto Health Centre,Migori,Level 3,Critical,Normal,No injected scenario; represents routine operating condition.,0.5061175925925926,0.045546944444444445,0.1178,0.0,0.13367912037037036,0.04937509259259259,0.0,0.0,0,0.0157,0.0,27395.46,0.49889020771513354,0.04552017804154303,-2.6766402901418074e-05,-0.007227384877459053,90,2,5.295,58488.64,488.0,12,False,-0.11190714285714286,0.375,0.49177342729270035,14,3,0.21428571428571427,0.027020879120879155,False,False,False
ME-00004,MRI,12516.0,Meru District hospital,Meru,Level 5,Critical,Normal,No injected scenario; represents routine operating condition.,0.5115759259259259,0.05605638888888889,0.1423,0.0,0.158475,0.06956513888888889,0.0,0.0,0,0.045,0.0,11347.77,0.5119347181008902,0.05507774480712166,-0.0009786440817672326,0.00035879217496426197,60,2,3.7,107398.45,161.0,5,False,0.035949999999999996,1.0,0.49934233016269275,14,3,0.21428571428571427,-0.017948791208791223,False,False,False
ME-00005,CT,24979.0,Kenyatta University Teaching Refferal and Research Hospital,Nairobi,Level 6,High,Normal,No injected scenario; represents routine operating condition.,0.5076814814814815,0.05006592592592592,0.1353,0.0,0.15483472222222222,0.03846884259259259,0.0,0.0,0,0.0257,0.0,5595.8,0.5062255192878339,0.049904451038575666,-0.0001614748873502575,-0.0014559621936476308,60,4,2.7125000000000004,124559.95999999999,106.33333333333333,53,False,0.05044285714285714,1.0,0.3383351108778799,14,3,0.21428571428571427,-0.016515604395604414,False,False,False
ME-00006,Anesthesia,13380.0,Khorof Harar Sub-District Hospital,Wajir,Level 4,Medium,Normal,No injected scenario; represents routine operating condition.,0.5066972222222221,0.03670074074074074,0.0935,0.0,0.11792546296296295,0.05957435185185185,0.0,0.0,0,0.0144,0.0,12877.04,0.5037121661721068,0.0367593471810089,5.860644026815798e-05,-0.0029850560501153423,60,4,4.547499999999999,158724.73,139.33333333333334,145,True,-0.06625714285714285,0.5128,0.2932559441702909,14,2,0.14285714285714285,0.01518593406593408,False,False,False
ME-00007,Ultrasound,11161.0,Wamagana Health Centre,Nyeri,Level 3,Critical,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.5083435185185184,0.05243111111111111,0.1429,0.0,0.11698634259259258,0.07872787037037036,0.0,0.0,0,0.0399,0.0,6040.72,0.5094094955489614,0.05306083086053412,0.0006297197494230106,0.0010659770304429772,60,2,3.915,78568.45,544.0,164,True,0.17429285714285717,0.3027,0.13692552419408216,14,9,0.6428571428571429,0.0004525274725274594,False,True,False
ME-00008,CT,13023.0,Kenyatta National Hospital,Nairobi,Level 6,Low,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.5124893518518518,0.05028662037037037,0.1422,0.0,0.15552421296296295,0.038692962962962964,0.0,0.0,0,0.0398,0.0,9273.53,0.5119198813056379,0.05060830860534125,0.0003216882349708766,-0.0005694705462139238,180,3,1.7300000000000002,55424.79,160.5,72,False,0.18145000000000003,0.3903,0.16566517553371132,14,8,0.5714285714285714,-0.004158461538461554,False,True,False
ME-00009,Hemodialysis,21922.0,Jumuia Hospitals Kakamega Clinic,Kakamega,Level 4,High,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.5071055555555556,0.09459416666666666,0.2606,0.0,0.3715576851851852,0.050955648148148146,0.0,0.0,0,0.0349,0.0,12183.39,0.5086498516320475,0.09467210682492581,7.794015825915435e-05,0.001544296076491869,30,3,3.1299999999999994,77176.45,221.0,9,False,0.13147857142857142,0.2552,0.11916964106536677,14,8,0.5714285714285714,-0.001701758241758247,False,True,False
ME-00010,Ultrasound,23284.0,Saphire Healthcare Nursing Home,Mandera,Level 3,High,Normal,No injected scenario; represents routine operating condition.,0.5066564814814815,0.052254166666666664,0.1404,0.0,0.11736773148148148,0.07747782407407408,0.0,0.0,0,0.046,0.0,17670.56,0.5034658753709199,0.05233204747774481,7.788081107814454e-05,-0.0031906061105615446,30,5,2.694,87537.93,144.0,9,False,0.1024642857142857,1.0,0.3827478756553474,14,2,0.14285714285714285,-0.04492197802197806,False,False,False
