equipment_id,equipment_type,facility_id,facility,county,week_start,counter_reported_hours,register_reported_hours,discrepancy_pct,is_labeled_discrepancy_case,scenario_rationale
ME-00001,MRI,24979.0,Kenyatta University Teaching Refferal and Research Hospital,Nairobi,2025-12-29,0.9,0.76,0.1556,False,
ME-00001,MRI,24979.0,Kenyatta University Teaching Refferal and Research Hospital,Nairobi,2026-01-05,0.39,0.0,1.0,False,
ME-00001,MRI,24979.0,Kenyatta University Teaching Refferal and Research Hospital,Nairobi,2026-01-12,1.25,2.45,-0.96,False,
ME-00001,MRI,24979.0,Kenyatta University Teaching Refferal and Research Hospital,Nairobi,2026-01-19,1.23,0.61,0.5041,False,
ME-00001,MRI,24979.0,Kenyatta University Teaching Refferal and Research Hospital,Nairobi,2026-01-26,2.33,0.17,0.927,False,
ME-00001,MRI,24979.0,Kenyatta University Teaching Refferal and Research Hospital,Nairobi,2026-02-02,3.32,5.3,-0.5964,False,
ME-00001,MRI,24979.0,Kenyatta University Teaching Refferal and Research Hospital,Nairobi,2026-02-09,0.0,0.0,0.0,False,
ME-00001,MRI,24979.0,Kenyatta University Teaching Refferal and Research Hospital,Nairobi,2026-02-16,0.0,1.27,0.0,False,
ME-00001,MRI,24979.0,Kenyatta University Teaching Refferal and Research Hospital,Nairobi,2026-02-23,0.0,0.62,0.0,False,
ME-00001,MRI,24979.0,Kenyatta University Teaching Refferal and Research Hospital,Nairobi,2026-03-02,0.0,0.0,0.0,False,
ME-00001,MRI,24979.0,Kenyatta University Teaching Refferal and Research Hospital,Nairobi,2026-03-09,10.78,9.53,0.116,False,
ME-00001,MRI,24979.0,Kenyatta University Teaching Refferal and Research Hospital,Nairobi,2026-03-16,8.78,6.73,0.2335,False,
ME-00001,MRI,24979.0,Kenyatta University Teaching Refferal and Research Hospital,Nairobi,2026-03-23,3.68,5.27,-0.4321,False,
ME-00001,MRI,24979.0,Kenyatta University Teaching Refferal and Research Hospital,Nairobi,2026-03-30,0.0,0.0,0.0,False,
ME-00002,Hemodialysis,24823.0,LIGHTHOUSE HOSPITAL AND REHABILITATION CENTRE,Uasin Gishu,2025-12-29,0.79,0.62,0.2152,True,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases."
ME-00002,Hemodialysis,24823.0,LIGHTHOUSE HOSPITAL AND REHABILITATION CENTRE,Uasin Gishu,2026-01-05,1.95,1.36,0.3026,True,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases."
ME-00002,Hemodialysis,24823.0,LIGHTHOUSE HOSPITAL AND REHABILITATION CENTRE,Uasin Gishu,2026-01-12,0.0,0.0,0.0,True,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases."
ME-00002,Hemodialysis,24823.0,LIGHTHOUSE HOSPITAL AND REHABILITATION CENTRE,Uasin Gishu,2026-01-19,0.0,0.0,0.0,True,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases."
ME-00002,Hemodialysis,24823.0,LIGHTHOUSE HOSPITAL AND REHABILITATION CENTRE,Uasin Gishu,2026-01-26,1.08,0.68,0.3704,True,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases."
